run_id	name	value	game_sim_settings
125	totalHealthy	260	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
125	totalExposed	153	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
124	totalHealthy	153	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
124	totalExposed	572	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
51	totalHealthy	366	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
51	totalExposed	234	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
7	totalHealthy	320	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
7	totalExposed	440	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
15	totalHealthy	93	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
15	totalExposed	246	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
54	totalHealthy	476	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
54	totalExposed	323	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
101	totalHealthy	395	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
101	totalExposed	225	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
11	totalHealthy	154	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
11	totalExposed	405	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
29	totalHealthy	497	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
29	totalExposed	302	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
69	totalHealthy	168	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
69	totalExposed	576	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
112	totalHealthy	199	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
112	totalExposed	501	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
42	totalHealthy	178	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
42	totalExposed	512	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
73	totalHealthy	134	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
73	totalExposed	600	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
87	totalHealthy	211	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
87	totalExposed	507	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
64	totalHealthy	225	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
64	totalExposed	523	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
3	totalHealthy	502	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
3	totalExposed	299	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
113	totalHealthy	224	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
113	totalExposed	529	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
30	totalHealthy	174	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
30	totalExposed	227	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
34	totalHealthy	352	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
34	totalExposed	417	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
59	totalHealthy	336	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
59	totalExposed	436	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
8	totalHealthy	334	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
8	totalExposed	435	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
22	totalHealthy	128	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
22	totalExposed	535	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
28	totalHealthy	520	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
28	totalExposed	289	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
85	totalHealthy	123	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
85	totalExposed	252	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
16	totalHealthy	129	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
16	totalExposed	427	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
35	totalHealthy	130	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
35	totalExposed	239	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
52	totalHealthy	443	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
52	totalExposed	283	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
71	totalHealthy	92	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
71	totalExposed	420	"{\"DesiredNumShoppers\":30,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
98	totalHealthy	146	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
